gene,fdr,category
HSPA9,0,1
BUB3,0,1
RPL19,0,1
TUT1,0,1
PRMT5,0,1
RPP21,0,1
RPL7,0,1
UBA3,0,1
RPL23A,0,1
DNA2,0,1
DCTN5,0,1
RPLP0,0,1
PSMA5,0,1
EIF6,0,1
PRMT1,0,1
PSMB1,0,1
COPA,0,1
HMGCS1,0,1
RPL4,0,1
RPL31,0,1
MCM7,0,1
ANAPC11,0,1
WDR43,0,1
GPN1,0,1
XRCC5,0,1
ATP1A1,0,1
CCT4,0,1
MAK16,0,1
EXOSC8,0,1
PGD,0,1
CARS,0,1
RPS18,0,1
PHB,0,1
ALDOA,0,1
CCT7,0,1
SRP54,0,1
U2AF1,0,1
AQR,0,1
RFC3,0,1
EIF5,0,1
PRPF19,0,1
NUP85,0,1
MDM2,0,1
RPS4X,0,1
WDR18,0,1
CLP1,0,1
EIF2S1,0,1
SNRNP25,0,1
GRPEL1,0,1
RPS29,0,1
RPL11,0,1
DARS,0,1
SKA2,0,1
NAA25,0,1
CCT3,0,1
SNRPF,0,1
PES1,0,1
ARL2,0,1
RPS27,0,1
NAA20,0,1
ARMC7,0,1
TCP1,0,1
DKC1,0,1
ORAOV1,0,1
ELP2,0,1
ILF3,0,1
IMP4,0,1
ATP6V0C,0,1
SF3B1,0,1
GPN2,0,1
RPS15A,0,1
CSNK2B,0,1
TRMT5,0,1
NUBP1,0,1
NUP160,0,1
PSMB7,0,1
SF3B3,0,1
RPS13,0,1
PSMG3,0,1
PFDN2,0,1
EIF3I,0,1
GNL3L,0,1
MIS18BP1,0,1
SEPT7,0,1
HSCB,0,1
MFN2,0,1
NUF2,0,1
SOD2,0,1
RUVBL2,0,1
GTPBP4,0,1
MARS2,0,1
TARS2,0,1
GART,0,1
DHX37,0,1
PTCD3,0,1
PSMA4,0,1
HSPA5,0,1
BRF1,0,1
PSMD14,0,1
FCF1,0,1
CCT5,0,1
MRPL44,0,1
TMED10,0,1
EIF3A,0,1
RPL27A,0,1
NOL9,0,1
UBA2,0,1
RPLP2,0,1
PSMD4,0,1
ACTR10,0,1
RSL1D1,0,1
